shoe,price,links,date,source
Birkenstock Boston Soft Footbed Suede Taupe,A$255,www.stockx.com/birkenstock-boston-soft-footbed-suede-taupe,18/10/2022,StockX
Jordan 1 Mid SE Multi Color (2022) (W),A$185,www.stockx.com/air-jordan-1-mid-multi-color-2022-w,18/10/2022,StockX
Nike Air Force 1 Mid Off-White Black,A$211,www.stockx.com/nike-air-force-1-mid-off-white-black,18/10/2022,StockX
Jordan 1 Low Craft Inside Out Black,A$206,www.stockx.com/air-jordan-1-low-inside-out-black,18/10/2022,StockX
Nike Dunk Low Retro White Black Panda (2021) (PS),A$120,www.stockx.com/nike-dunk-low-retro-white-black-ps,18/10/2022,StockX
Nike Dunk Low Retro White Black Panda (2021) (TD),A$101,www.stockx.com/nike-dunk-low-retro-white-black-td,18/10/2022,StockX
Nike Air Force 1 Low Supreme Black,A$260,www.stockx.com/nike-air-force-1-low-supreme-box-logo-black,18/10/2022,StockX
adidas Yeezy Boost 350 V2 Onyx,A$540,www.stockx.com/adidas-yeezy-boost-350-v2-onyx,18/10/2022,StockX
adidas Yeezy 700 V3 Dark Glow,A$376,www.stockx.com/adidas-yeezy-700-v3-dark-glow,18/10/2022,StockX
Nike Dunk Low Safari Mix (W),A$183,www.stockx.com/nike-dunk-low-safari-mix-w,18/10/2022,StockX
Jordan 4 Retro Black Canvas (GS),A$358,www.stockx.com/air-jordan-4-retro-black-canvas-gs,18/10/2022,StockX
adidas Yeezy 700 V3 Fade Salt,A$325,www.stockx.com/adidas-yeezy-700-v3-fade-salt,18/10/2022,StockX
Jordan 11 Retro Low 72-10,A$270,www.stockx.com/air-jordan-11-retro-low-72-10,18/10/2022,StockX
Jordan 12 Retro Stealth,A$283,www.stockx.com/air-jordan-12-retro-stealth,18/10/2022,StockX
Jordan 1 Retro High OG Dark Marina Blue,A$234,www.stockx.com/air-jordan-1-retro-high-og-dark-marina-blue,18/10/2022,StockX
Nike Dunk Low Valerian Blue,A$297,www.stockx.com/nike-dunk-low-valerian-blue,18/10/2022,StockX
Nike React Phantom Run Flyknit 2 White Glacier Blue,A$190,www.stockx.com/nike-react-phantom-run-flyknit-white-glacier-blue,18/10/2022,StockX
Jordan 1 Low SE Homage Split White Black (W),A$174,www.stockx.com/air-jordan-1-low-se-homage-white-black-w,18/10/2022,StockX
Jordan 1 Retro High OG Heirloom,A$238,www.stockx.com/air-jordan-1-retro-high-og-heirloom,18/10/2022,StockX
adidas Yeezy Foam RNNR Stone Sage,A$258,www.stockx.com/adidas-yeezy-foam-rnnr-stone-sage,18/10/2022,StockX
New Balance 550 Cream Black,A$259,www.stockx.com/new-balance-550-cream-black,18/10/2022,StockX
Jordan 1 Mid University Blue Grey,A$266,www.stockx.com/air-jordan-1-mid-university-blue-grey,18/10/2022,StockX
Nike Dunk Low Next Nature Lilac (W),A$273,www.stockx.com/nike-dunk-low-next-nature-lilac-w,18/10/2022,StockX
Nike Air Max 1 Crepe Hemp (2022),A$206,www.stockx.com/nike-air-max-1-crepe-medium-brown-mint-foam-mushroom-muslin,18/10/2022,StockX
adidas Samba Vegan White Gum,A$165,www.stockx.com/adidas-samba-vegan-white-gum,18/10/2022,StockX
adidas Yeezy Slide Glow Green (2022) (Restock),A$145,www.stockx.com/adidas-yeezy-slide-glow-green-2022,18/10/2022,StockX
Jordan 1 Retro High OG Stealth,A$222,www.stockx.com/air-jordan-1-retro-high-og-stealth,18/10/2022,StockX
Nike Dunk Low Certified Fresh,A$207,www.stockx.com/nike-dunk-low-certified-fresh,18/10/2022,StockX
Jordan 3 Retro Winterized Archaeo Brown,A$294,www.stockx.com/jodan-3-retro-winterized-archaeo-brown,18/10/2022,StockX
Nike Dunk Low Next Nature Phantom (W),A$171,www.stockx.com/nike-dunk-low-next-nature-light-curry-w,18/10/2022,StockX
adidas ADI2000 Yu-Gi-Oh! Blue Eyes White Dragon,A$211,www.stockx.com/adidas-adi2000-yu-gi-oh-blue-eyes-white-dragon,18/10/2022,StockX
adidas Yeezy 700 V3 Azael,A$374,www.stockx.com/adidas-yeezy-boost-700-v3-azael,18/10/2022,StockX
Nike SB Dunk Low Crushed D.C.,A$276,www.stockx.com/nike-sb-dunk-low-crushed-dc,18/10/2022,StockX
New Balance 2002R Protection Pack Mirage Grey,A$220,www.stockx.com/new-balance-2002r-protection-pack-mirage-grey,18/10/2022,StockX
Nike Dunk Low Triple White (2021) (W),A$182,www.stockx.com/nike-dunk-low-triple-white-2021-w,18/10/2022,StockX
Jordan 3 Retro Fire Red (2022) (GS),A$196,www.stockx.com/air-jordan-3-retro-fire-red-2022-gs,18/10/2022,StockX
Jordan 5 Retro Dark Concord,A$244,www.stockx.com/air-jordan-5-retro-concord,18/10/2022,StockX
Nike Dunk Low Dark Driftwood (W),A$180,www.stockx.com/nike-dunk-low-dark-driftwood-w,18/10/2022,StockX
New Balance 2002R Protection Pack Rain Cloud,A$374,www.stockx.com/new-balance-m2002-protection-pack-rain-cloud,18/10/2022,StockX
Nike Dunk Low Clark Atlanta University,A$421,www.stockx.com/nike-dunk-low-clark-atlanta-university,18/10/2022,StockX
adidas Yeezy Boost 700 Wave Runner,A$576,www.stockx.com/adidas-yeezy-wave-runner-700-solid-grey,18/10/2022,StockX
Jordan 4 Retro Military Black (GS),A$345,www.stockx.com/air-jordan-4-retro-military-black-gs,18/10/2022,StockX
Nike Dunk Low Chlorophyll,A$218,www.stockx.com/nike-dunk-low-chlorophyll,18/10/2022,StockX
Birkenstock Boston Soft Footbed Suede Taupe,A$255,www.stockx.com/birkenstock-boston-soft-footbed-suede-taupe,18/10/2022,StockX
Jordan 4 Retro Lightning (2021),A$443,www.stockx.com/air-jordan-4-retro-lightning-2021,18/10/2022,StockX
adidas Yeezy Boost 350 V2 Sesame,A$416,www.stockx.com/adidas-yeezy-boost-350-v2-sesame,18/10/2022,StockX
Nike Lebron 20 Miami Heat,A$356,www.stockx.com/nike-lebron-20-miami-heat,18/10/2022,StockX
adidas Yeezy Boost 350 V2 Dazzling Blue,A$383,www.stockx.com/adidas-yeezy-boost-350-v2-dazzling-blue,18/10/2022,StockX
Jordan 9 Retro Particle Grey,A$346,www.stockx.com/air-jordan-9-retro-particle-grey,18/10/2022,StockX
Nike Dunk Low Patent Halloween (W),A$200,www.stockx.com/nike-dunk-low-patent-halloween-w,18/10/2022,StockX
Nike Dunk Low Team Red (2022),A$262,www.stockx.com/nike-dunk-low-team-red,18/10/2022,StockX
Nike Dunk Low Dark Beetroot,A$177,www.stockx.com/nike-dunk-low-dark-beetroot,18/10/2022,StockX
Jordan 1 Retro High OG Atmosphere (W),A$315,www.stockx.com/air-jordan-1-retro-high-og-atmosphere-w,18/10/2022,StockX
adidas Yeezy Boost 350 V2 MX Rock,A$413,www.stockx.com/adidas-yeezy-boost-350-v2-mx-rock,18/10/2022,StockX
Nike Air Max 1 Travis Scott Cactus Jack Saturn Gold,A$296,www.stockx.com/nike-air-max-1-travis-scott-wheat,18/10/2022,StockX
Puma LaMelo Ball MB.01 Be You,A$250,www.stockx.com/puma-lamelo-ball-mb01-be-you,18/10/2022,StockX
adidas Yeezy 450 Utility Black,A$368,www.stockx.com/adidas-yeezy-450-utility-black,18/10/2022,StockX
New Balance 550 White Grey (GS),A$165,www.stockx.com/new-balance-550-white-grey-gs,18/10/2022,StockX
Jordan 1 Low SE Light Olive (W),A$262,www.stockx.com/air-jordan-1-low-se-light-olive-w,18/10/2022,StockX
Nike Dunk Low Pink Foam Black (W),A$220,www.stockx.com/nike-dunk-low-pink-foam-black-w,18/10/2022,StockX
adidas Yeezy Foam RNNR Ochre,A$256,www.stockx.com/adidas-yeezy-foam-rnnr-ochre,18/10/2022,StockX
Jordan 1 Mid Light Smoke Grey Anthracite,A$253,www.stockx.com/air-jordan-1-mid-light-smoke-grey-anthracite,18/10/2022,StockX
Jordan 1 High Element Gore-Tex Light Bone,A$337,www.stockx.com/air-jordan-1-high-element-gore-tex-light-bone,18/10/2022,StockX
adidas Yeezy Foam RNNR Sulfur,A$242,www.stockx.com/adidas-yeezy-foam-rnnr-sulfur,18/10/2022,StockX
adidas Yeezy 500 Blush,A$391,www.stockx.com/adidas-yeezy-500-blush,18/10/2022,StockX
Air Jordan 1 Mid Taxi,A$185,www.stockx.com/air-air-jordan-1-mid-taxi,18/10/2022,StockX
Jordan 1 Mid Shadow Red,A$238,www.stockx.com/air-jordan-1-mid-shadow-red,18/10/2022,StockX
Jordan 1 Retro High OG Rebellionaire,A$260,www.stockx.com/air-jordan-1-retro-high-og-rebellionaire,18/10/2022,StockX
Nike Dunk High Pink Prime (W),A$270,www.stockx.com/nike-dunk-high-pink-prime-w,18/10/2022,StockX
adidas Ultra Boost 4.0 DNA White,A$164,www.stockx.com/adidas-ultra-boost-40-dna-white,18/10/2022,StockX
New Balance 2002R Protection Pack Dark Navy,A$251,www.stockx.com/new-balance-2002r-protection-pack-dark-navy,18/10/2022,StockX
Nike SB Dunk High Pro Premium San Francisco Giants,A$173,www.stockx.com/nike-sb-dunk-high-san-francisco-giants,18/10/2022,StockX
Nike Air Max 95 Fish Scales,A$313,www.stockx.com/nike-air-max-95-fish-scales,18/10/2022,StockX
New Balance 550 White Nightwatch Green,A$182,www.stockx.com/new-balance-550-white-nightwatch-green,18/10/2022,StockX
Jordan 1 Retro High White University Blue Black,A$641,www.stockx.com/air-jordan-1-retro-high-white-university-blue-black,18/10/2022,StockX
